DATE,YEAR,MONTH,TOTAL_PHARMACIES,TOTAL_PHARMACIES_EXCLUDING_DISTANCE_SELLERS,TOTAL_DISTANCE_SELLING_PHARMACIES,TOTAL_HUNDRED_HOUR_PHARMACIES,SMALL,MEDIUM,LARGE,TOTAL_PHARMACIES_EXCLUDING_DISTANCE_SELLERS_OPENED,TOTAL_PHARMACIES_EXCLUDING_DISTANCE_SELLERS_CLOSED,PHARMACIES_EXCLUDING_DISTANCE_SELLERS_NET_CHANGE,SMALL_PHARMACIES_OPENED,SMALL_PHARMACIES_CLOSED,SMALL_PHARMACIES_NET_CHANGE,MEDIUM_PHARMACIES_OPENED,MEDIUM_PHARMACIES_CLOSED,MEDIUM_PHARMACIES_NET_CHANGE,LARGE_PHARMACIES_OPENED,LARGE_PHARMACIES_CLOSED,LARGE_PHARMACIES_NET_CHANGE,DISTANCE_SELLERS_OPENED,DISTANCE_SELLERS_CLOSED,DISTANCE_SELLERS_NET_CHANGE,
31-01-21,2021,1,11206,10837,369,1096,4024,1593,5220,18,60,-42,14,0,14,4,26,-22,0,34,-34,1,1,0,
28-02-21,2021,2,11184,10815,369,1091,4033,1584,5198,32,54,-22,23,1,22,4,26,-22,5,27,-22,1,1,0,
31-03-21,2021,3,11186,10816,370,1086,4034,1602,5180,41,40,1,20,1,19,19,18,1,2,21,-19,2,1,1,
30-04-21,2021,4,11194,10817,377,1081,4053,1597,5167,32,31,1,26,0,26,5,17,-12,1,14,-13,7,0,7,
31-05-21,2021,5,11185,10810,375,1079,4057,1598,5155,25,32,-7,19,0,19,5,19,-14,1,13,-12,1,3,-2,
30-06-21,2021,6,11175,10799,376,1078,4061,1693,5045,25,36,-11,20,1,19,3,22,-19,2,13,-11,3,2,1,
31-07-21,2021,7,11180,10805,375,1076,4080,1690,5035,27,21,6,21,0,21,6,11,-5,0,10,-10,1,2,-1,
31-08-21,2021,8,11153,10777,376,1073,4075,1686,5016,19,47,-28,16,2,14,2,25,-23,1,20,-19,3,2,1,
30-09-21,2021,9,11158,10779,379,1068,4081,1691,5007,23,21,2,10,1,9,11,9,2,2,11,-9,5,2,3,
31-10-21,2021,10,11141,10760,381,1072,4080,1689,4991,21,40,-19,13,1,12,7,22,-15,1,17,-16,3,1,2,
30-11-21,2021,11,11146,10764,382,1070,4074,1709,4981,23,19,4,11,0,11,12,9,3,0,10,-10,4,3,1,
31-12-21,2021,12,11148,10767,381,1066,4071,1716,4980,17,14,3,9,0,9,6,11,-5,2,3,-1,1,2,-1,
31-01-22,2022,1,11121,10739,382,1066,4074,1708,4957,21,49,-28,19,1,18,0,23,-23,2,25,-23,2,1,1,
