Koolituse ID,Asukoht,Kuupäev,Lektor ID,Päevade arv,Toimunud koolituse ID,Tundide arv koolitusel,Tundide arv päevas
1,,07-06-22,2,3,07.06.2022_1_2,15,5
1,Tallinn,14-11-22,3,3,14.11.2022_1_3,15,5
1,Tallinn,18-09-21,3,3,18.09.2021_1_3,15,5
2,,13-09-21,3,3,13.09.2021_2_3,18,6
2,Tallinn,22-09-22,2,3,22.09.2022_2_2,18,6
3,,11-05-22,1,3,11.05.2022_3_1,18,6
3,Tallinn,12-01-22,1,3,12.01.2022_3_1,18,6
3,Tallinn,04-03-23,3,2,04.03.2023_3_3,16,8
3,Tallinn,11-10-23,3,2,11.10.2023_3_3,16,8
3,Tartu,14-10-23,3,2,14.10.2023_3_3,16,8
3,Tartu,17-01-23,3,3,17.01.2023_3_3,18,6
4,,27-09-21,2,1,27.09.2021_4_2,5,5
4,Tallinn,03-05-21,1,1,03.05.2021_4_1,5,5
4,Tallinn,13-03-21,2,1,13.03.2021_4_2,5,5
4,Tallinn,14-05-23,2,1,14.05.2023_4_2,5,5
4,Tallinn,14-02-23,3,1,14.02.2023_4_3,5,5
4,Tallinn,21-11-23,3,1,21.11.2023_4_3,5,5
4,Tartu,05-10-21,1,1,05.10.2021_4_1,5,5
5,Narva,22-12-22,3,1,22.12.2022_5_3,6,6
5,Tallinn,04-09-21,2,1,04.09.2021_5_2,6,6
5,Tallinn,03-02-21,7,1,03.02.2021_5_7,6,6
5,Tallinn,30-10-23,8,1,30.10.2023_5_8,6,6
5,Tartu,08-02-23,4,1,08.02.2023_5_4,6,6
5,Tartu,25-07-22,4,1,25.07.2022_5_4,6,6
5,Tartu,27-03-21,7,1,27.03.2021_5_7,6,6
6,Tallinn,21-07-21,7,1,21.07.2021_6_7,8,8
6,Tallinn,22-11-22,7,1,22.11.2022_6_7,8,8
6,Tartu,09-12-21,3,1,09.12.2021_6_3,8,8
6,Valga,12-07-22,3,1,12.07.2022_6_3,8,8
6,Võru,28-11-22,3,1,28.11.2022_6_3,8,8
7,,31-10-23,3,3,31.10.2023_7_3,12,4
7,Kuressaare,24-07-23,7,3,24.07.2023_7_7,12,4
7,Narva,01-04-22,7,3,01.04.2022_7_7,12,4
7,Tallinn,05-07-23,2,3,05.07.2023_7_2,12,4
7,Tallinn,26-08-23,2,3,26.08.2023_7_2,12,4
7,Tallinn,19-01-22,4,3,19.01.2022_7_4,12,4
7,Tartu,20-04-22,4,3,20.04.2022_7_4,12,4
7,Võru,15-08-23,8,3,15.08.2023_7_8,12,4
8,Narva,21-06-23,4,1,21.06.2023_8_4,6,6
8,Tallinn,16-03-21,3,1,16.03.2021_8_3,6,6
8,Tallinn,24-04-21,3,1,24.04.2021_8_3,6,6
8,Tallinn,30-10-21,3,1,30.10.2021_8_3,6,6
8,Tallinn,24-12-21,7,1,24.12.2021_8_7,6,6
8,Tallinn,06-07-22,8,1,06.07.2022_8_8,6,6
8,Tallinn,12-07-23,8,1,12.07.2023_8_8,6,6
8,Tallinn,20-03-21,8,1,20.03.2021_8_8,6,6
8,Tartu,15-12-22,2,1,15.12.2022_8_2,6,6
8,Tartu,01-11-23,4,1,01.11.2023_8_4,6,6
9,Narva,02-03-23,5,5,02.03.2023_9_5,15,3
9,Narva,24-04-21,5,5,24.04.2021_9_5,15,3
10,Pärnu,04-08-23,5,10,04.08.2023_10_5,30,3
10,Tallinn,06-10-23,5,10,06.10.2023_10_5,30,3
10,Tallinn,21-09-23,5,10,21.09.2023_10_5,30,3
10,Tartu,18-12-22,5,10,18.12.2022_10_5,30,3
11,Pärnu,08-01-21,6,10,08.01.2021_11_6,30,3
11,Tallinn,17-04-23,6,10,17.04.2023_11_6,30,3
11,Tallinn,17-11-21,6,10,17.11.2021_11_6,30,3
12,Tallinn,02-09-21,6,10,02.09.2021_12_6,30,3
12,Tallinn,28-02-21,6,10,28.02.2021_12_6,30,3
13,Tallinn,30-10-23,5,7,30.10.2023_13_5,28,4
13,Tartu,28-07-21,5,7,28.07.2021_13_5,28,4
13,Tartu,28-11-22,5,7,28.11.2022_13_5,28,4
14,,19-06-22,3,3,19.06.2022_14_3,15,5
14,Tallinn,06-07-23,1,3,06.07.2023_14_1,15,5
14,Tallinn,15-06-21,1,3,15.06.2021_14_1,15,5
14,Tallinn,27-10-21,3,3,27.10.2021_14_3,15,5
15,Narva,18-03-22,8,2,18.03.2022_15_8,8,4
15,Põlva,21-07-23,2,2,21.07.2023_15_2,8,4
15,Rakvere,14-02-22,7,2,14.02.2022_15_7,8,4
