Index,Toimunud koolituse ID,Koolituse tüüp,Koolituste hinnad.Value,Osaleja ID,Päevade arv,Tundide arv koolitusel,Tundide arv päevas
1,08.01.2021_11_6,klassiõpe,18,37,10,30,3
2,08.01.2021_11_6,klassiõpe,18,50,10,30,3
3,08.01.2021_11_6,klassiõpe,18,51,10,30,3
4,08.01.2021_11_6,klassiõpe,18,8,10,30,3
5,08.01.2021_11_6,klassiõpe,18,77,10,30,3
6,08.01.2021_11_6,klassiõpe,18,101,10,30,3
7,08.01.2021_11_6,klassiõpe,18,121,10,30,3
8,20.01.2021_17_1,klassiõpe,45,8,4,32,8
9,20.01.2021_17_1,klassiõpe,45,20,4,32,8
10,20.01.2021_17_1,klassiõpe,45,39,4,32,8
11,20.01.2021_17_1,klassiõpe,45,47,4,32,8
12,20.01.2021_17_1,klassiõpe,45,48,4,32,8
13,20.01.2021_17_1,klassiõpe,45,58,4,32,8
14,20.01.2021_17_1,klassiõpe,45,62,4,32,8
15,20.01.2021_17_1,klassiõpe,45,50,4,32,8
16,20.01.2021_17_1,klassiõpe,45,66,4,32,8
17,20.01.2021_17_1,klassiõpe,45,75,4,32,8
18,20.01.2021_17_1,klassiõpe,45,83,4,32,8
19,20.01.2021_17_1,klassiõpe,45,124,4,32,8
20,03.02.2021_5_7,klassiõpe,30,4,1,6,6
21,03.02.2021_5_7,klassiõpe,30,14,1,6,6
22,03.02.2021_5_7,klassiõpe,30,18,1,6,6
23,03.02.2021_5_7,klassiõpe,30,26,1,6,6
24,03.02.2021_5_7,klassiõpe,30,57,1,6,6
25,03.02.2021_5_7,klassiõpe,30,74,1,6,6
26,03.02.2021_5_7,klassiõpe,30,77,1,6,6
27,03.02.2021_5_7,e-õpe,21,27,1,6,6
28,03.02.2021_5_7,e-õpe,21,54,1,6,6
29,26.02.2021_18_7,e-õpe,24,17,1,6,6
30,26.02.2021_18_7,e-õpe,24,34,1,6,6
31,26.02.2021_18_7,e-õpe,24,55,1,6,6
32,26.02.2021_18_7,e-õpe,24,70,1,6,6
33,26.02.2021_18_7,e-õpe,24,73,1,6,6
34,26.02.2021_18_7,e-õpe,24,92,1,6,6
35,26.02.2021_18_7,e-õpe,24,101,1,6,6
36,26.02.2021_18_7,e-õpe,24,112,1,6,6
37,26.02.2021_18_7,e-õpe,24,122,1,6,6
38,28.02.2021_21_2,e-õpe,30,16,2,16,8
39,28.02.2021_21_2,e-õpe,30,39,2,16,8
40,28.02.2021_21_2,e-õpe,30,40,2,16,8
41,28.02.2021_21_2,e-õpe,30,47,2,16,8
42,28.02.2021_21_2,e-õpe,30,61,2,16,8
43,28.02.2021_21_2,e-õpe,30,124,2,16,8
44,28.02.2021_21_2,e-õpe,30,126,2,16,8
45,28.02.2021_12_6,klassiõpe,18,3,10,30,3
46,28.02.2021_12_6,klassiõpe,18,13,10,30,3
47,28.02.2021_12_6,klassiõpe,18,11,10,30,3
48,28.02.2021_12_6,klassiõpe,18,33,10,30,3
49,28.02.2021_12_6,klassiõpe,18,34,10,30,3
50,28.02.2021_12_6,klassiõpe,18,42,10,30,3
51,28.02.2021_12_6,klassiõpe,18,100,10,30,3
52,28.02.2021_12_6,klassiõpe,18,103,10,30,3
53,04.03.2021_15_7,klassiõpe,24,1,2,8,4
54,04.03.2021_15_7,klassiõpe,24,4,2,8,4
55,04.03.2021_15_7,klassiõpe,24,77,2,8,4
56,04.03.2021_15_7,klassiõpe,24,84,2,8,4
57,04.03.2021_15_7,klassiõpe,24,111,2,8,4
58,04.03.2021_15_7,klassiõpe,24,116,2,8,4
59,05.03.2021_21_2,klassiõpe,36,10,2,16,8
60,05.03.2021_21_2,klassiõpe,36,18,2,16,8
61,05.03.2021_21_2,klassiõpe,36,26,2,16,8
62,05.03.2021_21_2,klassiõpe,36,77,2,16,8
63,05.03.2021_21_2,klassiõpe,36,80,2,16,8
64,05.03.2021_21_2,klassiõpe,36,100,2,16,8
65,13.03.2021_4_2,klassiõpe,24,9,1,5,5
66,13.03.2021_4_2,klassiõpe,24,11,1,5,5
67,13.03.2021_4_2,klassiõpe,24,20,1,5,5
68,13.03.2021_4_2,klassiõpe,24,37,1,5,5
69,13.03.2021_4_2,klassiõpe,24,48,1,5,5
70,13.03.2021_4_2,e-õpe,21,65,1,5,5
71,13.03.2021_4_2,e-õpe,21,69,1,5,5
72,13.03.2021_4_2,e-õpe,21,73,1,5,5
73,13.03.2021_4_2,e-õpe,21,115,1,5,5
74,13.03.2021_4_2,e-õpe,21,123,1,5,5
75,16.03.2021_8_3,klassiõpe,27,32,1,6,6
76,16.03.2021_8_3,klassiõpe,27,58,1,6,6
77,16.03.2021_8_3,klassiõpe,27,88,1,6,6
78,16.03.2021_8_3,klassiõpe,27,90,1,6,6
79,16.03.2021_8_3,klassiõpe,27,95,1,6,6
80,16.03.2021_8_3,klassiõpe,27,70,1,6,6
81,20.03.2021_8_8,klassiõpe,27,20,1,6,6
82,20.03.2021_8_8,klassiõpe,27,30,1,6,6
83,20.03.2021_8_8,klassiõpe,27,97,1,6,6
84,20.03.2021_8_8,klassiõpe,27,71,1,6,6
85,20.03.2021_8_8,klassiõpe,27,105,1,6,6
86,27.03.2021_5_7,klassiõpe,30,5,1,6,6
87,27.03.2021_5_7,klassiõpe,30,31,1,6,6
88,27.03.2021_5_7,klassiõpe,30,33,1,6,6
89,27.03.2021_5_7,klassiõpe,30,36,1,6,6
90,27.03.2021_5_7,klassiõpe,30,41,1,6,6
91,27.03.2021_5_7,e-õpe,21,63,1,6,6
92,27.03.2021_5_7,e-õpe,21,67,1,6,6
93,27.03.2021_5_7,e-õpe,21,113,1,6,6
94,24.04.2021_9_5,klassiõpe,18,34,5,15,3
95,24.04.2021_9_5,klassiõpe,18,51,5,15,3
96,24.04.2021_9_5,klassiõpe,18,53,5,15,3
97,24.04.2021_9_5,klassiõpe,18,61,5,15,3
98,24.04.2021_9_5,klassiõpe,18,69,5,15,3
99,24.04.2021_9_5,klassiõpe,18,89,5,15,3
100,24.04.2021_9_5,klassiõpe,18,103,5,15,3
101,24.04.2021_9_5,klassiõpe,18,113,5,15,3
102,24.04.2021_9_5,klassiõpe,18,125,5,15,3
103,24.04.2021_8_3,klassiõpe,27,6,1,6,6
104,24.04.2021_8_3,klassiõpe,27,24,1,6,6
105,24.04.2021_8_3,klassiõpe,27,85,1,6,6
106,24.04.2021_8_3,klassiõpe,27,31,1,6,6
107,24.04.2021_8_3,klassiõpe,27,121,1,6,6
108,24.04.2021_8_3,klassiõpe,27,73,1,6,6
109,03.05.2021_4_1,klassiõpe,24,1,1,5,5
110,03.05.2021_4_1,klassiõpe,24,111,1,5,5
111,03.05.2021_4_1,klassiõpe,24,16,1,5,5
112,03.05.2021_4_1,klassiõpe,24,25,1,5,5
113,03.05.2021_4_1,klassiõpe,24,28,1,5,5
114,03.05.2021_4_1,klassiõpe,24,31,1,5,5
115,03.05.2021_4_1,klassiõpe,24,34,1,5,5
116,03.05.2021_4_1,klassiõpe,24,42,1,5,5
117,03.05.2021_4_1,klassiõpe,24,44,1,5,5
118,03.05.2021_4_1,klassiõpe,24,54,1,5,5
119,15.06.2021_14_1,klassiõpe,36,9,3,15,5
120,15.06.2021_14_1,klassiõpe,36,11,3,15,5
121,15.06.2021_14_1,klassiõpe,36,2,3,15,5
122,15.06.2021_14_1,klassiõpe,36,19,3,15,5
123,15.06.2021_14_1,klassiõpe,36,28,3,15,5
124,15.06.2021_14_1,klassiõpe,36,77,3,15,5
125,15.06.2021_14_1,klassiõpe,36,89,3,15,5
126,15.06.2021_14_1,klassiõpe,36,95,3,15,5
127,15.06.2021_14_1,klassiõpe,36,32,3,15,5
128,15.06.2021_14_1,e-õpe,30,101,3,15,5
129,15.06.2021_14_1,klassiõpe,36,110,3,15,5
130,15.06.2021_14_1,klassiõpe,36,123,3,15,5
131,15.06.2021_20_7,klassiõpe,27,5,2,12,6
132,15.06.2021_20_7,klassiõpe,27,12,2,12,6
133,15.06.2021_20_7,klassiõpe,27,32,2,12,6
134,15.06.2021_20_7,klassiõpe,27,49,2,12,6
135,15.06.2021_20_7,klassiõpe,27,63,2,12,6
136,15.06.2021_20_7,klassiõpe,27,86,2,12,6
137,15.06.2021_20_7,klassiõpe,27,92,2,12,6
138,15.06.2021_20_7,klassiõpe,27,112,2,12,6
139,15.06.2021_20_7,klassiõpe,27,118,2,12,6
140,17.07.2021_18_2,e-õpe,24,10,1,6,6
141,17.07.2021_18_2,e-õpe,24,51,1,6,6
142,17.07.2021_18_2,e-õpe,24,21,1,6,6
143,17.07.2021_18_2,e-õpe,24,62,1,6,6
144,17.07.2021_18_2,e-õpe,24,71,1,6,6
145,17.07.2021_18_2,e-õpe,24,80,1,6,6
146,17.07.2021_18_2,e-õpe,24,82,1,6,6
147,17.07.2021_18_2,e-õpe,24,109,1,6,6
148,17.07.2021_18_2,e-õpe,24,115,1,6,6
149,21.07.2021_6_7,klassiõpe,33,7,1,8,8
150,21.07.2021_6_7,klassiõpe,33,8,1,8,8
151,21.07.2021_6_7,klassiõpe,33,10,1,8,8
152,21.07.2021_6_7,klassiõpe,33,13,1,8,8
153,21.07.2021_6_7,e-õpe,33,34,1,8,8
154,21.07.2021_6_7,e-õpe,33,41,1,8,8
155,21.07.2021_6_7,e-õpe,33,48,1,8,8
156,21.07.2021_6_7,e-õpe,33,49,1,8,8
157,21.07.2021_6_7,e-õpe,33,78,1,8,8
158,21.07.2021_19_2,e-õpe,18,3,1,7,7
159,21.07.2021_19_2,e-õpe,18,27,1,7,7
160,21.07.2021_19_2,e-õpe,18,28,1,7,7
161,21.07.2021_19_2,e-õpe,18,55,1,7,7
162,21.07.2021_19_2,e-õpe,18,45,1,7,7
163,21.07.2021_19_2,e-õpe,18,71,1,7,7
164,21.07.2021_19_2,e-õpe,18,91,1,7,7
165,21.07.2021_19_2,e-õpe,18,114,1,7,7
